ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,velocity_mode,velocity_scale,hue color value
1577,Lisa Su,2.300221503,-0.78876495,0.9281855,-0.52060825,-0.0031207807954185015,0.015075301687417329,0.013486942495600866,semiconductors/hardware,1406/1385/260,radial,0.05,1.2610606
1578,Fan Daidi,2.300221503,1.470051,1.0915755,-0.64462394,-0.0071879410479160875,-0.0009916482659737436,-0.00027623655344654116,Skincare,2146,radial,0.05,1.0129639
1579,Liang Guangwei,2.300221503,1.3048042,0.48328793,-0.26370427,0.0010538983250554185,-0.0031828155847825924,0.011002621562019668,Conglomerate,1452/2498,radial,0.05,0.6238532
1580,Xie Liangzhi & family,2.300221503,1.7268405,0.83196205,-1.3111289,-0.018793169298593065,0.003316879977785635,0.009118082666585831,healthcare/pharmaceuticals,1125/1859/3186/487/1883/1523,radial,0.05,1.4115231
1581,Peter Leibinger,2.300221503,2.1451788,0.31895724,-0.42074186,-0.00908138960343223,0.005927422466616254,0.006369711501212989,Machine tools,1583/1582,radial,0.05,1.058115
1582,Regine Leibinger,2.300221503,0.1424327,1.5052569,1.4797748,0.006138201964440248,-0.002446847795949501,-0.010701150000955882,Machine tools,1583/1581,radial,0.05,1.058115
1583,Nicola Leibinger-Kammueller,2.300221503,-0.43286273,2.1225374,0.89171845,0.015257107504761813,-0.01641046847920569,-0.012697032038153488,Manufacturing,312/920/533/1581/1582/302,radial,0.05,0.6835843
1584,Alberto Bombassei,2.300221503,0.54427665,1.9366003,0.9830491,0.0,0.0,0.0,automotive,,radial,0.05,0.6697777
1585,Huijiao Yu,2.300221503,0.8370474,0.6747223,-0.2821954,0.025104209533643004,0.010587132070794314,-0.0046707440178880184,Package delivery,86/1132/174/2122,radial,0.05,1.1398789
1586,Alexandra Daitch,2.300221503,-1.2535676,1.4237318,0.5854325,-0.01221964633411729,-0.010147968573891766,-0.014707490021134055,Cargill,671/751/344,radial,0.05,0.439058
1587,Lucy Stitzer,2.300221503,-1.1885326,1.6378298,0.16416237,-0.013812323102513567,-0.016662914179581843,-0.00042226411760775925,Cargill,671/751/344,radial,0.05,0.439058
1588,Sarah MacMillan,2.300221503,-1.1179745,1.2318299,-1.1821334,-0.007531860318500692,-0.0016348488539681856,0.02022893063897922,Cargill,671/751/344,radial,0.05,0.439058
1589,F.C. Tseng,2.300221503,0.8563251,0.3542927,-1.068391,-0.022767394130845647,0.012441798565047306,0.010201304142824085,semiconductors/hardware,1406/50/358,radial,0.05,1.2610606
1590,Anthony Hall,2.300221503,0.45083624,-0.3245027,-0.31998608,-0.010980775711042466,0.015853727307424785,0.0036607079633750143,Technology,1761/1026/573/1633,radial,0.05,1.0906686
1591,Yao Kuizhang,2.300221503,1.401721,1.8573091,-0.21341878,0.00913658275965665,-0.018910186177319054,0.0006402135434708543,food/beverages,313/2966/486,radial,0.05,0.431557
1592,Toto Wolff,2.300221503,-0.27913785,0.9029825,0.7777965,0.021016712549289756,0.006740284996693849,-0.015270304992851147,logistics/shipping/sports/entertainment,1068/135/274/731/1146,radial,0.05,0.7081293
1593,Stefan Olsson,2.300221503,-0.5992802,0.570462,-0.21518221,0.032443655145361516,-0.011342792676724922,0.008303638274242268,Diversified,1094/36/3046/20,radial,0.05,0.8902763
1594,William Boyd & family,2.300221503,-1.1118531,1.2528322,-0.37589255,0.0,0.0,0.0,finance/gambling/entertainment,,radial,0.05,1.2819759
1595,Hans-Werner Hector,2.300221503,-0.024425387,1.772731,1.0731938,0.01340292270428982,-0.015138339696037131,-0.0036288525363526204,software/enterprise software,251/2759/1323/3167,radial,0.05,0.52043086
1596,Leonard Schleifer,2.300221503,-0.6581532,0.45572722,0.13979122,0.02638917288887894,-0.005189465753026325,-0.003580119805004754,healthcare/pharmaceuticals,94/2475/139,radial,0.05,1.4115231
1597,Timm Oberwelland,2.300221503,0.5142277,1.2502913,0.7248006,-0.011008397142496866,-0.006417159298607608,0.010505462103021461,Candy,1309/3076/1144/2334,radial,0.05,0.37512416
1598,Ipek Kirac,2.300221503,0.13755234,0.46850908,0.6673322,0.025231233174394872,-0.016156945179615526,-0.01230067971998641,Diversified,20/1663/1468,radial,0.05,0.8902763
1599,Martin Knauf,2.300221503,0.045611978,0.81832975,1.2092272,6.667403094922001e-05,0.01085023924111326,-0.012867048915650683,building materials,2295/1791/1792/1790/2570,radial,0.05,0.5155123
1600,Chin Jong Hwa,2.215028114,0.21579403,0.50144243,0.40910605,0.009520152213524617,-0.008208421936609861,-0.018990552573359316,Auto parts,1933/2104/1058/599/320,radial,0.05,0.8197709
1601,Hong Feng,2.215028114,0.33989343,0.6767088,-0.21854417,0.014922535275219712,0.0055737808399804285,0.022452249245407847,Smartphones,208/103/328,radial,0.05,1.8994682
1602,Li Wanqiang,2.215028114,0.6407925,0.4691204,-0.0027130544,-0.009474107191038602,0.02526354122876405,0.007069273570837696,Smartphones,208/1601/103/328,radial,0.05,1.8994682
