ID,Name,NetWorth,x,y,z,industries,connections,hue color value
199,Vinod Khosla,12693814960,-2.0843735,0.84573936,-0.44860148,investment/finance,1513,1.5244248
200,Zou Zhinong & family,12693814960,0.92014796,0.37761182,-0.78616256,telecom,,0.37299705
201,Jaime Gilinski Bacal,12608621571,-0.9028797,-0.118353084,0.015447989,finance,1067/339,1.5244248
202,Xavier Niel & family,12608621571,-0.53540754,1.4560572,1.412861,telecom,,0.37299705
203,Brad Jacobs,12523428182,-1.2875662,1.45052,0.93278575,logistics/shipping,1865/2325/2647/2122,0.7081293
204,Ann Walton Kroenke,12523428182,-1.3224782,0.7671103,-0.14867939,retail/logistics,9/37/8/121,1.5629902
205,Laurene Powell Jobs,12523428182,-0.6951115,0.7299704,-0.7490443,consumer electronics/software,116/1451/1783,1.2647958
206,Zhang Zhidong,12353041404,1.7579929,1.3573911,-0.32792348,Online games,39/1391/1242/499,0.5171643
207,Donald Newhouse,12353041404,-0.52173007,0.27507412,0.40335244,media/entertainment,381/294/1261,1.8096282
208,Alisher Usmanov,12182654626,0.86243165,1.1708921,0.8943566,telecom/investment/finance/mining/materials,578/1601/103/1602/328,0.6704873
209,Joseph Lau,12182654626,1.12614,0.69845974,-0.50147915,real estate,114/1111/1966,1.6829958
210,Ivan Glasenberg,12097461237,1.0533894,-0.9178794,-0.46345836,mining/materials,950/791/1020/1423,0.8420775
211,Elizabeth Johnson,11927074459,-0.8937991,0.63170767,0.505787,finance/asset management,47,1.4860582
212,Robert Kuok,11927074459,1.1041638,0.40010315,-0.9142201,real estate/energy/oil and gas/logistics/shipping,1014/1201,1.1103568
213,Antonia Ax:son Johnson & family,11841881070,0.37318665,0.4957671,0.5897413,Diversified,,0.8902763
214,Robert Kraft,11756687681,-1.5282992,1.4660404,0.39677602,sports/entertainment,331/1087/142,1.8096282
215,Igor Bukhman,11586300903,-1.4562118,1.4307878,0.8809773,Online games,216/798/39/53/1335,0.5171643
216,Dmitri Bukhman,11586300903,-1.6826742,1.2173681,0.71714497,Online games,215/798/39/53/1335,0.5171643
217,Leon Black,11501107514,-1.3944228,1.5458113,-0.053323627,investment/finance,290/303,1.5244248
218,James Goodnight,11501107514,-1.2821896,1.4537445,0.14357916,software/cloud,620/470/509/2851,1.5939332
219,Ralph Lauren & Family,11501107514,-0.93400407,0.5553119,0.33260965,luxury/fashion/retail,740/1374/3409,0.9080228
220,Cai Huabo,11501107514,1.2239151,1.0940254,-1.1792157,Electronics,184/194/1156/1512/225/187,0.9184684
221,Simon Reuben,11501107514,0.23506604,1.1251695,0.8455187,investment/finance/real estate,369/1227/1369/394/1450,1.5244248
222,David Reuben,11501107514,-0.54252875,0.8236151,0.12112462,investment/finance/real estate,2896/1695,1.5244248
223,George Roberts,11415914125,-1.8053943,1.0764744,-0.34338403,investment/finance,1406/256/490/1898,1.5244248
224,Liu Debing,11330720736,1.1289395,0.6842266,-0.23710194,ai/software,815/1481/632/3180,1.2647958
225,Pierre Chen,11330720736,1.2671026,0.8922106,-1.2462316,Electronics,184/194/1156/1512/187,0.9184684
226,Cao Renxian,11245527347,1.5160545,0.6201354,-1.0516475,ai/software,,1.2647958
227,Sunil Mittal,11245527347,1.032143,0.7241182,-0.21542409,telecom,15/412/413,0.37299705
228,David Velez & family,11245527347,-0.5365186,-0.12551093,0.8061515,Fintech,2380/1770,1.8876406
229,Ken Fisher,11245527347,-1.1426697,0.506721,0.15053591,Money management,561/451,1.5577363
230,Wang Ning & family,11160333958,1.7095283,1.1873636,-0.9362533,Toys,3068,1.1704957
231,Jude Reyes,11160333958,-1.653659,0.33231604,0.29953623,food/beverages,232,0.431557
232,J. Christopher Reyes,11160333958,-1.2812611,1.064488,0.2769512,food/beverages,231,0.431557
233,Chen Tao & family,11075140569,1.2127831,0.41426954,-0.5189058,Hardware,,0.931463
234,Joseph Tsai,11075140569,1.1905606,1.0708053,-1.0242976,e-commerce/retail,65/86/443,0.59320146
235,Alexander Karp,11075140569,1.6004689,1.007377,0.9432145,software/cloud,516/87/3331/876,1.5939332
236,Robert Duggan,11075140569,-0.66946536,0.42766106,0.16514543,healthcare/pharmaceuticals,13,1.4115231
237,Hamdi Ulukaya,11075140569,-0.44169748,0.7238055,0.07622047,Greek yogurt,,1.4938295
238,Zhang Hejun,10989947180,1.3743674,1.4008014,-0.51421106,Electronics,184/194/1156/1512/225/187,0.9184684
239,Li Ping,10904753791,0.4720788,0.33677092,-0.13678293,batteries/energy storage,,0.76219267
240,Orlando Bravo,10904753791,-1.750521,1.1771715,-0.3409452,investment/finance,1655/1830/336/335/1358/2874,1.5244248
241,Andre Esteves,10904753791,-0.5097437,-0.4010589,0.5737304,finance,1065/1990/921/1920/1430/2985,1.5244248
242,Richard Kinder,10904753791,-1.7960808,1.326693,0.6449039,Pipelines,319/321/315/2054/332,1.5718026
