Name,NetWorth_Billions,X,Y,Z,ForceBasedOnAge
Paul Fireman,1.489,-0.58971995,0.56774276,0.20165679,0.1
Marco Squinzi,1.146599,0.07580097,0.48240077,0.468553,0.4
Ralph Lauren & Family,13.684992,-0.6309403,0.56483287,0.18084778,0.044444446
Zhang Yuqiang,2.421546,0.6018556,0.41381705,-0.35528335,0.22222222
Qi Shi & family,11.908534,0.5562543,0.3952704,-0.3403139,0.3888889
Art Levinson,1.599028,-0.54222965,0.47991303,0.1490822,0.16666667
Peter Thiel,29.753029,-0.56906605,0.43657196,-0.30568966,0.35555556
Rihanna,1.02811,-0.42898887,0.32910857,-0.23044331,0.5888889
Bernard Fraisse & family,4.450413,0.02069003,0.5777642,0.5044199,0.23333333
Zhang Congyuan,8.385176,0.63741875,0.3477655,-0.38784188,0.14444445
Jeff Skoll,5.34453,-0.6857769,0.34840256,0.120241106,0.33333334
Cameron Adams,3.78,0.24514647,-0.341606,-0.44605476,0.4888889
Edouard Carmignac,1.189963,0.023126582,0.6458044,0.56382275,0.13333334
Otto Toto Sugiri,8.879571,0.61006653,-0.06940992,-0.18471411,0.2
Victor Fung,1.062427,0.4856473,0.21808995,-0.21800078,0.11111111
Chen Shibin,2.42436,0.64464164,0.5094952,-0.3605087,0.34444445
Jay Paul,3.267006,-0.40103796,0.36817756,-0.2546969,0.13333334
Yu Lili,1.486809,0.47368836,0.27584982,-0.20078501,0.36666667
Ernesto Bertarelli,11.548379,0.06529301,0.5419333,0.51061773,0.33333334
Richard Saghian,2.149,-0.4587397,0.3519326,-0.2464248,0.51111114
Vikas Oberoi,4.496654,0.54288876,0.19640349,0.16719498,0.3888889
Shirley Kao,1.391107,0.6352238,0.31188312,-0.3699072,0.23333333
Thomas Bruch,1.678314,0.045552816,0.42701304,0.36227995,0.16666667
Palmer Luckey,3.548823,-0.5951543,0.4478661,-0.31550372,0.6333333
Wang Xicheng & family,1.788825,0.4339624,0.38422987,-0.25470632,0.14444445
Hank Meijer & family,6.456158,-0.41861632,0.3909835,0.03171029,0.18888889
Mark Shoen,3.742067,-0.50526744,0.36017638,-0.20490068,0.16666667
Joe Kiani,1.246316,-0.5219692,0.39316097,-0.27547204,0.32222223
Hasmukh Chudgar & family,7.6088,0.67376727,0.30010816,0.21130976,0
