ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched,is_valid,connection_count,vx,vy,vz,velocity_strength,NetWorth_Billions
984,Kailashchandra Nuwal,3663315727.0,1.7957429,0.89935267,-0.20389634,Industrial explosives,social media,647,68.0,Industrial explosives,,,India,Married,2.0,Satyanarayan Nuwal,True,1,0.004871234898182818,-0.031296399617617696,0.03868858283190411,0.05,3.663315727
985,H. Fisk Johnson,3663315727.0,-0.50140023,0.8021253,-0.32330737,Cleaning products,Cleaning products,966/335/989/982,68.0,Cleaning products,2.0,3.0,United States,Divorced,1.0,Helen Johnson-Leipold/Robert F. Smith/S. Curtis Johnson/Winifred J. Marquart,True,4,-0.029779440320277385,-0.011313944782025624,0.03340386943655263,0.04615884428420996,3.663315727
986,Li Xiang,3663315727.0,1.3109902,1.4552686,-0.5115621,Electric vehicles,automotive,1517/499,44.0,Electric vehicles/ Self Made,,,China,,,He Xiaopeng/Wang Xing,True,2,-0.012209738231685884,-0.025106779656230507,-0.01280881912944016,0.03071634646053326,3.663315727
987,Byron Trott,3663315727.0,-0.65968776,0.7021696,0.2539966,Investments,investment/finance,3021/406/1142/1420/49/2553,67.0,Investments/ Self Made,2.0,9.0,United States,Married,,Cheah Cheng Hye/Frank Lowy/James Packer/Richard Chandler/Stephen Schwarzman/Thaksin Shinawatra,True,6,0.012710016384063914,0.0045390640129336565,-0.03819702913456974,0.04051124107335952,3.663315727
988,Thomas Hagen & family,3663315727.0,-1.3226508,0.6599827,-0.17631337,Insurance,Insurance,1552/579,90.0,Insurance,2.0,2.0,United States,Widowed,2.0,George Joseph/Patrick Ryan,True,2,0.028524258420488082,0.02123854566090995,0.010474997472887238,0.03707336931392042,3.663315727
989,S. Curtis Johnson,3663315727.0,-0.64969873,0.6231511,0.12543264,Cleaning products,Cleaning products,985/966/982,71.0,Cleaning products,2.0,1.0,United States,Married,4.0,H. Fisk Johnson/Helen Johnson-Leipold/Winifred J. Marquart,True,3,-0.0033685209208647207,0.0014906790354485575,-0.017193451834823122,0.017583624290157356,3.663315727
990,Pansy Ho,3663315727.0,1.095716,1.1629438,-0.8306522,Casinos,gambling/entertainment,2045/58,63.0,Casinos,,,Hong Kong,Divorced,,Angela Leong/Miriam Adelson & family,True,2,-0.045655217335507724,-0.0034362367571608003,0.006548027341863872,0.046250224378628746,3.663315727
991,John Middleton,3663315727.0,-0.6121786,1.7916942,0.973863,Tobacco,Tobacco,2768/67/13,71.0,Tobacco,2.0,5.0,United States,Married,2.0,Brad Kelley/Eduardo Saverin/Steve Ballmer,True,3,-0.003821747142188342,-0.019175227937373918,-0.039359689017590814,0.04394860904773357,3.663315727
992,Maggie Hardy,3663315727.0,1.321927,1.0609316,1.2756705,Building materials,Building materials,1536/2815/2791/1816,60.0,Building materials,,4.0,United States,Married,1.0,Eugene Murtagh/Igor Rybakov/Sergei Kolesnikov/Wong Luen Hei,True,4,-0.021542597290748977,0.008027052474959403,-0.01935133340958948,0.030049811550095135,3.663315727
993,C. Dean Metropoulos,3663315727.0,-0.77515346,0.6970717,-0.18095179,Investments,investment/finance,1728/406/1142/1420/2553,80.0,Investments/ Self Made,1.0,8.0,United States,Married,2.0,Alec Gores/Frank Lowy/James Packer/Richard Chandler/Thaksin Shinawatra,True,5,0.020677438738284617,-0.026834382725312945,-0.009075112299878414,0.035071330631721,3.663315727
